# Fecha de generación: 2025-12-08T20:20:40+00:00
# Usuario: vboxuser
# Host: Ubuntu

comm	count	cpu_avg	cpu_max	mem_avg	mem_max
kworker/5:2-eve	2	0	0	0	0
gsd-sharing	2	0	0	.10	0.1
gnome-shell	2	14.30	14.3	6.50	6.5
cupsd	2	0	0	.10	0.1
cat	2	0	0	0	0
kworker/3:2H-kb	2	0	0	0	0
systemd-oomd	2	0	0	0	0
systemd-resolve	2	0	0	.10	0.1
gsd-printer	2	0	0	.10	0.1
kworker/u25:2	2	0	0	0	0
nautilus	2	.10	0.1	3.20	3.2
kworker/4:0H-kb	2	0	0	0	0
snap	2	0	0	.20	0.2
kworker/2:2-eve	2	0	0	0	0
kworker/3:1H-kb	2	0	0	0	0
avahi-daemon	4	0	0	0	0
Isolated Web Co	22	.36	1.1	2.72	7.5
VBoxService	2	0	0	0	0
tracker-miner-f	2	0	0	.30	0.3
kworker/u24:0-e	2	.80	0.8	0	0
kworker/0:1	2	0	0	0	0
language_server	2	3.20	3.2	2.80	2.8
